Date created,Year,"Number of Acres in Farmland, 1987","Number of Acres in Farmland, 1992","Number of Acres in Farmland, 1997","Number of Acres in Farmland, 2002","Number of Acres in Farmland, 2007","Number of Acres in Farmland, 2012","Change in Number of Acres, 1987-1992","Change in Number of Acres, 1992-1997","Change in Number of Acres, 1997-2002","Change in Number of Acres, 2002-2007","Change in Number of Acres, 2007-2012","Percent Change in Acres, 1987-1992","Percent Change in Acres, 1992-1997","Percent Change in Acres, 1997-2002","Percent Change in Acres, 2002-2007","Percent Change in Acres, 2007-2012","Change in Number of Acres, 1987-2012","Percent Change in Acres, 1987-2012"
08/27/2014 12:00:00 AM,MARYLAND,2396629,2223476,2193063,2077630,2051756,2030745,-173153,-30413,-115433,-25874,-21011,-7.2,-1.4,-5.3,-1.2,-1,-365884,-15.3
08/27/2014 12:00:00 AM,Allegany County,48941,37802,43944,39379,36643,36261,-11139,6142,-4565,-2736,-382,-22.8,16.2,-10.4,-6.9,-1,-12680,-25.9
08/27/2014 12:00:00 AM,Anne Arundel County,42413,43320,36438,35218,29244,28111,907,-6882,-1220,-5974,-1133,2.1,-15.9,-3.3,-17,-3.9,-14302,-33.7
08/27/2014 12:00:00 AM,Baltimore City,,,,,,,,,,,,,,,,,,
08/27/2014 12:00:00 AM,Baltimore County,92806,83232,79479,71227,78282,70419,-9574,-3753,-8252,7055,-7863,-10.3,-4.5,-10.4,9.9,-10,-22387,-24.1
08/27/2014 12:00:00 AM,Calvert County,41251,37320,35274,30032,26443,32901,-3931,-2046,-5242,-3589,6458,-9.5,-5.5,-14.9,-12,24.4,-8350,-20.2
08/27/2014 12:00:00 AM,Caroline County,132804,126981,112545,114843,131277,150357,-5823,-14436,2298,16434,19080,-4.4,-11.4,2,14.3,14.5,17553,13.2
08/27/2014 12:00:00 AM,Carroll County,166745,157505,167871,147252,141934,132630,-9240,10366,-20619,-5318,-9304,-5.5,6.6,-12.3,-3.6,-6.6,-34115,-20.5
08/27/2014 12:00:00 AM,Cecil County,86861,80241,86419,77089,85026,76667,-6620,6178,-9330,7937,-8359,-7.6,7.7,-10.8,10.3,-9.8,-10194,-11.7
08/27/2014 12:00:00 AM,Charles County,67655,59389,56648,52056,52147,46659,-8266,-2741,-4592,91,-5488,-12.2,-4.6,-8.1,0.2,-10.5,-20996,-31
08/27/2014 12:00:00 AM,Dorchester County,125019,123762,122443,125385,133188,126420,-1257,-1319,2942,7803,-6768,-1,-1.1,2.4,6.2,-5.1,1401,1.1
08/27/2014 12:00:00 AM,Frederick County,236350,222768,218044,195827,202087,181512,-13582,-4724,-22217,6260,-20575,-5.7,-2.1,-10.2,3.2,-10.2,-54838,-23.2
08/27/2014 12:00:00 AM,Garrett County,121529,110699,111829,101444,95514,95197,-10830,1130,-10385,-5930,-317,-8.9,1,-9.3,-5.8,-0.3,-26332,-21.7
08/27/2014 12:00:00 AM,Harford County,99948,97312,94806,81409,75166,65472,-2636,-2506,-13397,-6243,-9694,-2.6,-2.6,-14.1,-7.7,-12.9,-34476,-34.5
08/27/2014 12:00:00 AM,Howard County,54041,44623,41501,37582,29371,37475,-9418,-3122,-3919,-8211,8104,-17.4,-7,-9.4,-21.8,27.6,-16566,-30.7
08/27/2014 12:00:00 AM,Kent County,133597,131283,117905,117372,128220,133201,-2314,-13378,-533,10848,4981,-1.7,-10.2,-0.5,9.2,3.9,-396,-0.3
08/27/2014 12:00:00 AM,Montgomery County,103377,82470,79268,75077,67613,63493,-20907,-3202,-4191,-7464,-4120,-20.2,-3.9,-5.3,-9.9,-6.1,-39884,-38.6
08/27/2014 12:00:00 AM,Prince George's County,62308,54459,49257,45462,37005,32607,-7849,-5202,-3795,-8457,-4398,-12.6,-9.6,-7.7,-18.6,-11.9,-29701,-47.7
08/27/2014 12:00:00 AM,Queen Anne's County,170677,165349,166756,155566,146927,156941,-5328,1407,-11190,-8639,10014,-3.1,0.9,-6.7,-5.6,6.8,-13736,-8
08/27/2014 12:00:00 AM,Somerset County,64305,55657,56424,56650,60255,65212,-8648,767,226,3605,4957,-13.4,1.4,0.4,6.4,8.2,907,1.4
08/27/2014 12:00:00 AM,St. Mary's County,80493,77491,71920,68153,68648,67086,-3002,-5571,-3767,495,-1562,0,-7.2,-5.2,0.7,-2.3,-13407,-16.7
08/27/2014 12:00:00 AM,Talbot County,109032,109108,111144,105729,109002,119481,76,2036,-5415,3273,10479,0.1,1.9,-4.9,3.1,9.6,10449,9.6
08/27/2014 12:00:00 AM,Washington County,137529,123932,126467,125159,114065,129600,-13597,2535,-1308,-11094,15535,-9.9,2,-1,-8.9,13.6,-7929,-5.8
08/27/2014 12:00:00 AM,Wicomico County,95542,91254,92057,88470,92852,83739,-4288,803,-3587,4382,-9113,-4.5,0.9,-3.9,5,-9.8,-11803,-12.4
08/27/2014 12:00:00 AM,Worcester County,123406,107519,114624,131249,110847,99304,-15887,7105,16625,-20402,-11543,-12.9,6.6,14.5,-15.5,-10.4,-24102,-19.5
