FID,FULLNAME,Shape_Leng,Type,Shape_Le_1,Shape_Area
1,Cobo Center,5180.152446,Convention,5180.152446,1120739.82036
2,Commonwealth-Marquette,294.57505063,Park,294.575050638,4565.9418978
3,Marx,1810.05507722,Park,1810.05507722,184924.687595
4,Holy Cross Cmtry,6882.49725034,Cemetery,6882.49725034,1432999.71003
5,O'Hair,9611.35044894,Park,9611.35044894,3334773.03366
6,Woodmere Cmtry,14822.6499728,Cemetery,14822.6499728,8517329.03011
7,Woodlawn Cmtry,9836.99482921,Cemetery,9836.99482921,5687423.03848
8,Bradley,1217.51046952,Park,1217.51046952,92173.2167063
9,Milan,2950.45134588,Park,2950.45134588,525174.671251
10,Warren-Meldrum,1566.45428954,Park,1566.45428954,152643.2851
11,Evergreen Cmtry,8752.46575438,Cemetery,8752.46575438,2075490.07992
12,Detroit Golf Club,14335.2835815,Golf,14335.2835815,9406252.23814
13,Johnston,1330.41720158,Park,1330.41720158,88099.0214893
14,Stoepel No. 1,4771.13931742,Park,4771.13931742,1241466.80167
15,Gordon,717.68264581,Park,717.682645814,29761.2649356
16,Helen-Longyear,259.98160589,Park,259.981605896,2995.86369343
17,Hecla,261.92397053,Park,261.923970532,3043.17162564
18,Biraga,1859.90585251,Park,1859.90585251,150182.604542
19,4th-Charlotte,554.94162286,Park,554.941622864,17333.5261527
20,Cass,1543.76642427,Park,1543.76642427,167165.73579
21,Optimist-Stout,1933.6713753,Park,1933.6713753,193487.626175
22,Scripps,1282.38562078,Park,1282.38562078,80204.9402613
23,Evergreen Cmtry,302.20696041,Cemetery,302.206960414,4052.42212369
24,Wigle,2329.96293524,Park,2329.96293524,306088.497706
25,Rouge Golf Course,13166.0973458,Golf,13166.0973458,9582536.40314
26,Reid,957.37348581,Park,957.373485815,59086.6615385
27,Luce-St. Louis,1601.34432391,Park,1601.34432391,95549.142452
28,Kern,1807.84113243,Park,1807.84113243,171208.082649
29,Bonnie Brook Golf Course,8171.14752073,Golf,8171.14752073,2031378.64023
30,Clarita-Stout,1403.99315157,Park,1403.99315157,122887.43069
31,Howarth,1205.53059129,Park,1205.53059129,80352.4208812
32,Grand Lawn Cmtry,10450.0575528,Cemetery,10450.0575528,6682738.12334
33,Votrobeck,1469.65438878,Park,1469.65438878,130537.763359
34,Brimson-Carrie,703.9097987,Park,703.909798703,25193.4770066
35,Lodge,2998.48572046,Park,2998.48572046,553416.583465
36,Tuttle,1768.00918695,Park,1768.00918695,163601.410065
37,Redford Cmtry,2149.98707896,Cemetery,2149.98707896,279612.570221
38,Elmwood Cmtry,10649.7244952,Cemetery,10649.7244952,5506237.39967
39,Simmons,1751.26509774,Park,1751.26509774,161813.050657
40,Karaniewski,905.00460803,Park,905.004608038,33281.240588
41,St. Anthony,1102.29901647,Park,1102.29901647,74729.4282733
42,Lahser-Clarita,2472.88588946,Park,2472.88588946,320523.859284
43,Sacred Heart Cmtry,2963.25409918,Cemetery,2963.25409918,461510.845454
44,Hope,3826.15855053,Park,3826.15855053,759098.339457
45,Lutheran Cmtry,4220.71165311,Cemetery,4220.71165311,942889.889099
46,Dueweke,1521.92049475,Park,1521.92049475,105116.49222
47,Canfield-Sheridan,344.85689478,Park,344.856894787,6844.16373713
48,Forest Lawn Cmtry,9931.43947558,Cemetery,9931.43947558,5649098.7716
49,Midland-Bentler,1168.41955034,Park,1168.41955034,71457.3446282
50,Sylvester-Seyburn,1828.59140354,Park,1828.59140354,166733.411719
51,Bnai-David Cmtry,1189.33621302,Cemetery,1189.33621302,74371.993241
52,Outer Drive-Burgess,1416.47794283,Park,1416.47794283,119451.51443
53,Sylvester-Field,468.1591565,Park,468.159156506,13418.3426958
54,Detroit City Arprt,25583.6952155,Airport,25583.6952155,11264126.7314
55,Butzel Playground,1809.18618755,Park,1809.18618755,199987.772822
56,Rouge Park,20670.2719267,Park,20670.2719267,21468313.6487
57,Mount Olivet Cmtry,21051.0593362,Cemetery,21051.0593362,12286208.1646
58,Rouge Park,21531.5663907,Park,21531.5663907,17332977.3911
59,Kercheval-Parker,237.07924039,Park,237.079240398,3508.83674181
60,Gethsemane Cmtry,5207.48863774,Cemetery,5207.48863774,1526085.60582
61,Savage,1245.39919424,Park,1245.39919424,96320.1715971
62,MacArthur Bridge,3145.267535,Park,3145.267535,543313.211347
63,Fort Wayne,8135.64767262,Fort,8135.64767262,3827758.47234
64,Gabriel Richard,3528.83295499,Park,3528.83295499,748758.060171
65,Murphy,349.72637297,Park,349.72637297,5844.6635781
66,Voigtt,2288.36738044,Park,2288.36738044,295405.867218
67,Murphy,550.3650542,Park,550.365054203,18874.9326155
68,Maiullo,811.59303804,Park,811.593038043,37015.758249
69,Owen,3036.89660264,Park,3036.89660264,360209.583648
70,Henderson,5568.07876568,Park,5568.07876568,1571463.07796
71,Chicago,555.35208823,Park,555.352088236,17792.1917617
72,Outer Drive-Fullerton,2463.49433987,Park,2463.49433987,305376.656747
73,Boyer,1374.52518995,Park,1374.52518995,77532.2714393
74,Brinkett-Hibbard,287.27430363,Park,287.274303639,3416.19603415
75,Outer Drive-Fullerton,6111.08418845,Park,6111.08418845,1931132.97238
76,Rockdale-Kendale,1147.90793393,Park,1147.90793393,74802.5555132
77,Mollicone,1398.33808688,Park,1398.33808688,90465.1231455
78,Military-Regular,1277.91082541,Park,1277.91082541,72352.2729837
79,Riordan,1760.31189324,Park,1760.31189324,171581.033628
80,Kozdron (Dewitt Products),480.1229958,Park,480.122995805,13515.8463907
81,LaSalle-Ford,595.65882839,Park,595.658828395,20657.7763061
82,St. Hedwig,3289.59389168,Park,3289.59389168,587219.083278
83,Rogell Golf Course,16027.674669,Golf,16027.674669,5374941.97541
84,Pingree,2702.72487203,Park,2702.72487203,395768.615093
85,Seven Mile-Appleton,1176.69464737,Park,1176.69464737,62184.4163626
86,Latham,1360.24757891,Park,1360.24757891,62703.4794883
87,Malish,1328.61800938,Park,1328.61800938,81896.4120006
88,Frisbee-Pembroke,6618.68392657,Park,6618.68392657,1886034.80105
89,Szafraniec,1195.14730517,Park,1195.14730517,89227.2655765
90,Latham,1426.25047376,Park,1426.25047376,66298.7014153
91,Markulis,2111.27832442,Park,2111.27832442,173610.753654
92,Burns-Lambert,1069.11268652,Park,1069.11268652,46681.0293875
93,Atkinson,1909.13673138,Park,1909.13673138,182249.094483
94,Sirotkin,681.36851935,Park,681.368519353,27378.5161095
95,Molena-Castle,1505.2996997,Park,1505.2996997,143392.105846
96,Grayfield-Glenhurst,1656.25463043,Park,1656.25463043,93075.3184342
97,Lawrence,248.26346879,Park,248.263468791,2399.73633117
98,Fletcher,2178.17722406,Park,2178.17722406,257318.962175
99,Rouge Valley Parkway,16049.9653938,Park,16049.9653938,3336631.2538
100,Lawrence,247.87348866,Park,247.873488663,2401.95589174
101,Facsko,711.9426741,Park,711.942674102,25857.1465097
102,Rouge Valley Parkway,3697.20622027,Park,3697.20622027,480192.067349
103,Dover,362.26452963,Park,362.264529636,4997.78972573
104, ,959.75045413,Park,959.75045413,37976.7780189
105,Eliza Howell,16261.306019,Park,16261.306019,11059803.4377
106,Bieniek,1877.54124053,Park,1877.54124053,159202.345502
107,Robinwood,787.3717024,Park,787.371702402,29323.7623012
108,Wilson,957.16321963,Park,957.163219631,40305.2219612
109, ,630.30798016,Park,630.307980162,20730.4555558
110,Dingeman,3296.11491929,Park,3296.11491929,665859.493803
111,Salsinger,2379.30996582,Park,2379.30996582,229068.853204
112,Wingle,613.67338134,Park,613.673381343,21816.8718709
